gene,med,cv,sd,cvmod,r
TIMM29,0.730892176508,0.3454841379339713,0.23042352520670398,0.44676488851215096,0.984056151836
TIMM44,0.913717909625,0.12891742953337446,0.1133556304315597,0.10995659310019838,0.853508972551
TIMM50,0.00468859573098,3.1314381989783984,0.05224779049265634,2.5668884856200753,0.8674696585122434
TIMM8A,0.9585930203065001,0.08061813643268435,0.07572571947469639,0.0475181297775208,0.8627304033650001
TIMM8B,0.115096166043,0.9320161800282897,0.1411439911419648,1.4082384307123292,0.752709948898565
TIMM9,0.766350892572,0.31831112625431907,0.2221775780444553,0.35386655631189434,0.9788109676464
TIMMDC1,0.152037931589,1.0165572884237304,0.25165456054653096,1.9346440916372023,0.971982990800677
TIMP1,0.00331780883105,1.8639969090670079,0.013371173258729874,1.7902808653362663,0.1656020858069528
TIMP2,0.00633250956766,1.9361919594622385,0.029961883342467088,2.110710943509725,0.365948973626921
TIMP3,0.0214769041049,1.5023129324713314,0.07153790241803566,2.2846875580240185,0.5515379720567953
TIMP4,7.28089868581e-4,3.080510883492409,0.010740553074240218,2.8335969424033793,0.163954568609
TINAG,0.00267979963906,2.685868751350663,0.02342685474110465,2.3478133317769028,0.3019386051293481
TINAGL1,0.0182280865381,1.6356814478625874,0.0657038485433321,2.1983343376483027,0.8417349143650057
TINF2,0.991224557458,0.03088802600938796,0.030275394391477903,0.02370780428933798,0.29504146945200005
TIPARP,0.128663390501,1.113427349571728,0.2891198434526423,3.1569088264252065,0.9798220584333073
TIPIN,0.875391819556,0.17611954909620647,0.14511883118698216,0.16986712503141851,0.9189087402138001
TIPRL,0.514849705755,0.5792453098042784,0.28848803592252636,1.0315898791631815,0.99456068209823
TIRAP,0.00145106512141,2.7131760148785453,0.014001585518411906,2.62029968800806,0.20319031123309095
TJAP1,0.00789466238031,1.9978233758544939,0.03588826269435115,1.9105932993942314,0.44762073242776296
TJP1,0.0220393286356,1.7835686786466332,0.10952684095896081,2.6235836063672298,0.930436470546
TJP2,0.00989962073489,1.7196013496358125,0.0446136908875876,2.5391822496682055,0.4340614014914109
TJP3,0.0789362759888,0.9274828120959417,0.10446437504908256,1.5829782154446879,0.6871871152827029
TK1,0.0116442050737,1.949192433182432,0.06523214851906793,2.636440380666979,0.7200320960764095
TK2,0.0613874854548,0.9995350677116882,0.08803112973284027,1.3720406935321734,0.53961613219157
TKFC,0.0557500815234,1.125570596480668,0.09667017132990785,1.4300004766403436,0.6910597513210616
TKT,0.629882165317,0.5186451161158275,0.3020075617296705,0.896876052987927,0.99337456126302
TKTL1,0.014813747107000001,1.5185986271981293,0.04319903801591571,1.6821495047755306,0.3560074858464854
TKTL2,0.00401587604997,2.242395929512709,0.02763680836944179,2.3325770740209917,0.2813397009873999
TLCD1,0.349129696882,0.5398506455634484,0.2012770886535873,0.8397955821618229,0.945146112547141
TLCD2,0.00630335005895,1.6981499259478965,0.025701302769663988,2.20819570956981,0.27780198456105654
TLDC1,0.145352392607,0.8108815264028489,0.14565497962767157,1.2513908028331988,0.85493492825005
TLDC2,0.00905242335971,1.7442646749655824,0.034344557012418134,1.9355633713082674,0.3056868907550937
TLE1,0.00639957946235,2.3514746050404365,0.05322081970563753,2.624071136059217,0.5408335497958786
TLE2,0.00574791015055,2.6541322591209497,0.039528763031093296,2.0760723680863666,0.7773966611994609
TLE3,0.0287522107709,1.7681737220599019,0.15763746205554607,2.7924990771910214,0.9999982757041781
TLE4,0.0016756627474,4.44258225968103,0.03960634360140884,3.412903737733353,0.726699657072779
TLE6,0.0311896962852,1.3051113527567426,0.07397686322681764,1.8258005978282594,0.5532008963453849
TLK1,0.0153618629635,1.5471785724048772,0.051812838979174006,2.1705603201073624,0.4258506283306895
TLK2,0.12921115583,1.0783854308915755,0.2348931028606725,2.1128303105064794,0.981106961644167
TLL1,0.00596825219836,2.1355820331441677,0.03660362514563678,2.2408214060633944,0.488628010696
TLL2,0.00447041587479,1.9458393000519592,0.01728660912925543,1.5818831254602672,0.2066414340668991
TLN1,0.926923042043,0.1318038668436022,0.11650430552101507,0.11968707939494024,0.7145416662219999
TLN2,0.0213687458645,1.2596244869180897,0.0442027169001014,1.6490158512905553,0.381663703222183
TLNRD1,0.0063422149124,2.150835648725185,0.04002176145816365,2.440336697700014,0.38077185172586653
